issueUID,projectName,raw images
DzSHqdPB76-30:20~1,1,"20191031_130935_R,20191031_130936_R,20191031_130937_R"
DzSHqdPB76-30:20~2,1,"20191031_130935_R,20191031_130936_R,20191031_130937_R"
DzSHqdPB76-32:18~1,1,"20191031_130945_R,20191031_130946_R,20191031_130947_R"
DzSHqdPB76-34:19~1,1,"20191031_130945_R,20191031_130946_R,20191031_130947_R"
DzSHqdPB76-37:17~1,1,"20191031_131157_R,20191031_131158_R,20191031_131159_R"
DzSHqdPB76-31:15~1,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-31:15~2,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-31:15~3,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-30:13~1,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-30:13~2,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-32:16~1,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-33:16~1,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-29:13~1,1,"20191031_130753_R,20191031_130754_R,20191031_130755_R"
DzSHqdPB76-29:13~2,1,"20191031_130959_R,20191031_130960_R,20191031_130961_R"
DzSHqdPB76-34:15~1,1,"20191031_130959_R,20191031_130960_R,20191031_130961_R"
DzSHqdPB76-33:14~1,1,"20191031_130959_R,20191031_130960_R,20191031_130961_R"
DzSHqdPB76-34:15~2,1,"20191031_130959_R,20191031_130960_R,20191031_130961_R"
DzSHqdPB76-31:2~1,1,"20191031_131034_R,20191031_131035_R,20191031_131036_R"
DzSHqdPB76-33:6~1,1,"20191031_131024_R,20191031_131025_R,20191031_131026_R"
DzSHqdPB76-30:9~2,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-30:9~3,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-31:12~1,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-31:12~2,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-31:12~3,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-31:12~4,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-32:12~1,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-32:12~2,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-32:12~3,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-33:12~1,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-35:10~1,1,"20191031_131144_R,20191031_131145_R,20191031_131146_R"
DzSHqdPB76-36:12~1,1,"20191031_131144_R,20191031_131145_R,20191031_131146_R"
DzSHqdPB76-36:12~2,1,"20191031_131144_R,20191031_131145_R,20191031_131146_R"
DzSHqdPB76-36:12~3,1,"20191031_131144_R,20191031_131145_R,20191031_131146_R"
